root 2025-02-13 18:05:36,753 INFO: Проверка рабочих дней...
root 2025-02-13 18:05:36,753 INFO: Проверка выходных...
root 2025-02-13 18:05:36,753 INFO: Проверка условия вхождения даты...
root 2025-02-13 18:05:36,753 INFO: Проверка рабочих дней...
root 2025-02-13 18:05:36,753 INFO: Проверка выходных...
root 2025-02-13 18:05:36,753 INFO: Проверка условия вхождения даты...
root 2025-02-13 18:05:36,753 INFO: Проверка рабочих дней...
root 2025-02-13 18:05:36,753 INFO: Проверка выходных...
root 2025-02-13 18:05:36,753 INFO: Проверка условия вхождения даты...
root 2025-02-13 18:05:36,753 INFO: Проверка рабочих дней...
root 2025-02-13 18:05:36,754 INFO: Проверка выходных...
root 2025-02-13 18:05:36,754 INFO: Проверка условия вхождения даты...
root 2025-02-13 18:05:36,754 INFO: Проверка рабочих дней...
root 2025-02-13 18:05:36,754 INFO: Проверка выходных...
root 2025-02-13 18:05:36,754 INFO: Проверка условия вхождения даты...
root 2025-02-13 18:05:36,754 INFO: Проверка рабочих дней...
root 2025-02-13 18:05:36,754 INFO: Проверка выходных...
root 2025-02-13 18:05:36,754 INFO: Проверка условия вхождения даты...
root 2025-02-13 18:05:36,754 INFO: Проверка рабочих дней...
root 2025-02-13 18:05:36,754 INFO: Проверка выходных...
root 2025-02-13 18:05:36,754 INFO: Проверка условия вхождения даты...
root 2025-02-13 18:05:36,754 INFO: Проверка рабочих дней...
root 2025-02-13 18:05:36,754 INFO: Проверка выходных...
root 2025-02-13 18:05:36,754 INFO: Проверка условия вхождения даты...
root 2025-02-13 18:05:36,754 INFO: Проверка рабочих дней...
